reference_casias,nom,adresse,code_insee,commune,avec_coordonnees,statut,motif,source_url
BNO6100673,MOULIN A PAPIER DES VALLEES,,61031,BEAUCHENE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796314
BNO6100674,PAPETERIE,,61031,BEAUCHENE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796315
BNO6100675,MOULIN A PAPIER DES PETITS ETANGS,Lonlay,61031,BEAUCHENE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796316
BNO6100677,USINE DE PLANQUIVON,lieu dit PLANQUIVON,61007,ATHIS DE L'ORNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796318
BNO6100685,FILATURE DU ROQUERET,,61069,CAHAN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796326
BNO6100687,MOULIN DE CALIGNY,,61070,CALIGNY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796328
BNO6100688,FILATURE,,61070,CALIGNY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796329
BNO6100691,FILATURE DE MONNERIE,,61070,CALIGNY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796331
BNO6100693,USINE DU PONT,pont le,61070,CALIGNY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796333
BNO6100698,USINE DES FONTAINES,,61287,MONTILLY SUR NOIREAU,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796337
BNO6100701,FERLAM TECNOLOGIES anciennement USINE D'OUVRAGE EN AMIANTE,"lieu dit ""Le Plafond""",61407,SAINTE HONORINE LA CHARDONNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796340
BNO6100706,FILATURE DU BOIS BARAMET,,61447,SAINT PIERRE DU REGARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796343
BNO6100707,FILATURE LE BARRENET,,61447,SAINT PIERRE DU REGARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796344
BNO6100708,FILATURE DE LA PLANCHE à L'ANE,,61447,SAINT PIERRE DU REGARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796345
BNO6100712,?  anciennement le Moulin de la ROQUE,,61447,SAINT PIERRE DU REGARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796347
BNO6100715,LE MOULIN DE PELLERAT,Moulin De Pellerat le,61445,SAINT PIERRE D'ENTREMONT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796349
BNO6100719,Usine de St Philibert,,61444,SAINT PHILBERT SUR ORNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796352
BNO6100721,USINE DE FER DE PONTCHON,Dans la cour du moulin de PONTCHARDON,61333,PONTCHARDON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796354
BNO6100722,USINE DE FER DE SAINT MARTIN DE PONTCHARDON,La cour  du Pont,61333,PONTCHARDON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796355
