dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00061095,pilote_30,enrichi_socle_v1,site_pilote_valide,82718138-99cb-45fb-a081-95b61c5dce48,briqueterie,L'Hôme-Chamondot,61206,,Chauffetières (Les),briqueterie,fabrication_briques,verre_ceramique_materiaux_construction,briqueterie,mutations_reconversions,mutations_reconversions,geometrie_approximative,0.7152285849659745,48.614992408344285,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/061971a0-e7ce-4ace-be21-d4b6f8aa2705
IA00061113,pilote_30,enrichi_socle_v1,site_pilote_valide,be1c19ae-3062-4f64-b8db-602ab713f052,"laminoir, usine de quincaillerie dite usine de la Batterie",Saint-Sulpice-sur-Risle,61456,,Moulin à Tan (Le),laminoir | usine de quincaillerie,laminage_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,laminoir | usine,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,0.648168264558847,48.77481321857863,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/85be1da1-cd39-444b-bab2-2219605d469c
IA00061117,pilote_30,enrichi_socle_v1,site_pilote_valide,af60a402-a20e-4cca-b3c9-a81921d4e2e8,briqueterie Saint-Martin,Argentan,61006,,Sainte-Anne,briqueterie,fabrication_briques,verre_ceramique_materiaux_construction,briqueterie,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,-0.037485884350861635,48.75668430101197,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/90ded92e-ceb4-42bd-8d71-67e5ae24dd36
IA00061119,pilote_30,enrichi_socle_v1,site_pilote_valide,687037bf-bf42-4ee7-a5f4-e79d60a38cc1,filature de la Martinique,Athis-de-l'Orne,61007,,Petite Suisse (La),filature,filature_textile,textile_habillement_cuir,filature,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,-0.5264803216151851,48.8263948592895,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/b0d5ba20-5410-4029-a240-8f1d3c45de1a
IA00061133,pilote_30,enrichi_socle_v1,site_pilote_valide,ca91c449-cb94-4c38-a230-023dbec512cd,"laiterie industrielle, fromagerie industrielle dite laiterie fromagerie Lavalou",Le Bourg-Saint-Léonard,61057,,,laiterie industrielle | fromagerie industrielle,transformation_lait | transformation_lait,agroalimentaire,fromagerie | laiterie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre | mutations_reconversions,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.10359277019030935,48.76502373879208,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a49b849a-2c3f-43da-ba37-1654a0828017
IA00061135,pilote_30,enrichi_socle_v1,site_pilote_valide,2f3e86c1-08b4-4131-9a06-8f30764843cb,fonderies du Perche,Irai,61208,,Cernetterie (La),fonderie,fonderie,metallurgie_travail_metaux,fonderie,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.6740319616145599,48.65300669671029,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a5bef7bf-b391-44f0-b9fe-2a4e452370d4
IA00061147,pilote_30,enrichi_socle_v1,site_pilote_valide,c528f629-8337-49c9-873c-75ecc067a7a3,cartonnerie,Saint-Langis-lès-Mortagne,61414,,Gare (La),cartonnerie,fabrication_carton,bois_papier_imprimerie,cartonnerie,guerres_entre_deux_guerres | modernisation_apres_guerre,guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.5490432071424247,48.50881005375055,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/3624a154-3a9a-40aa-9b62-a284ba7cbb38
IA00061153,pilote_30,enrichi_socle_v1,site_pilote_valide,b1136ddb-9fff-4209-8328-e5caed705388,affinerie dite forge de Beaumont,Longny-au-Perche,61230,,Forge (La),affinerie,affinage_metaux,metallurgie_travail_metaux,affinerie,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,avant_1789 | industrialisation_rail_vapeur,geometrie_approximative,0.7468896435126247,48.51539072960532,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/451e1db8-8019-43bb-8934-b6a85c84b000
IA00061155,pilote_30,enrichi_socle_v1,site_pilote_valide,890265c5-e62f-45f7-aed2-08fb1814f457,"usine de quincaillerie, tréfilerie dite établissements Bohin",Saint-Sulpice-sur-Risle,61456,,,usine de quincaillerie | tréfilerie,fabrication_quincaillerie | trefilage_metaux,metallurgie_travail_metaux,usine,revolution_premiere_industrialisation,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.6568775300978867,48.77913238860982,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/8e086fa2-48a8-45f7-bd02-99d65e20eb6a
IA00061166,pilote_30,enrichi_socle_v1,site_pilote_valide,35c5c701-5158-4714-aa11-6946f7fae290,cidrerie distillerie dite cidrerie distillerie Pépin,Écouché,61153,"Général de Gaulle (avenue du) 5, 9",,cidrerie | distillerie,production_cidre | distillation_alimentaire,agroalimentaire,cidrerie | distillerie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre | mutations_reconversions,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,-0.12137461962188618,48.71420362780827,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a1a400fd-3841-4653-a97b-df83a755edee
IA00060886,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,scierie de Saint-Evroult,Saint-Evroult-Notre-Dame-du-Bois,61386,,,scierie,sciage_bois,bois_papier_imprimerie,scierie,,industrialisation_rail_vapeur,source_non_controlee,0.4678298343674747,48.7839395005013,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/ac551034-af77-49ae-b783-93b8082f3fb2
IA00060892,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,filature de coton,Ménil-Hubert-sur-Orne,61269,,Bateau (Le),filature,filature_textile,textile_habillement_cuir,filature,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.397570969637022,48.85651269472857,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/56f6086f-45f4-4898-a92d-01c3877e751a
