site_id,reference_ia,reference_casias,nom_casias,adresse_casias,distance_m,score_texte,statut,usage
7606b628-676b-4b92-b1f6-d9889ada3994,IA00061159,BNO6101339,USINE A GAZ,"lieu dit "" La gare""",18.5,83,recoupement_confirme,recoupement_uniquement
4d1cc2e0-20de-4869-9296-0101922e86af,IA00061025,BNO6101340,AFFINERIE,"lieu dit ""La Forge""",21.5,55,recoupement_confirme,recoupement_uniquement
3b2da87c-4fdb-4e4e-a224-1da0a2842379,IA00060962,BNO6101341,AFFINERIE DE FER,"lieu dit ""La Forge""",32.7,71,recoupement_confirme,recoupement_uniquement
46d6dfbf-61d6-4548-bb60-33b5bb087cc5,IA00060946,BNO6101343,AFFINERIE DE FER,"lieu dit ""La forge de Cosse""",10.8,86,recoupement_confirme,recoupement_uniquement
fdf96df3-c8bc-4d56-9e29-5da505a6ecaa,IA00061096,BNO6101344,FENDERIE,"lieu dit ""Conturbie""",69.6,67,recoupement_confirme,recoupement_uniquement
1bb9490a-3894-4352-9ad1-e9e87940fdf7,IA00061081,BNO6101346,MOULIN DE FEUGEROUX / TREFILERIE BIGOT,,7.1,71,recoupement_confirme,recoupement_uniquement
ce0a98a1-4910-4b8e-b1ee-89b08b6180f4,IA00061019,BNO6101347,MOULIN A FARINE / TREFILERIE,"lieu dit ""le moulin de Saint Hilaire""",7.8,82,recoupement_confirme,recoupement_uniquement
9a7a01d8-6f88-44e1-af13-a5bbb55ece49,IA00061057,BNO6101348,MOULIN A FARINE,,68.9,100,recoupement_confirme,recoupement_uniquement
c15f9716-15b4-40fc-96c9-d226bab4a4da,IA00061139,BNO6101349,USINE DE FABRICATION DES METAUX / MOULIN A PAPIER,"lieu dit ""la Forge""",54.5,91,recoupement_confirme,recoupement_uniquement
2bd5d18b-0875-4d3d-9160-529bbcc5c178,IA00061141,BNO6101350,MOULIN A PAPIER,"lieu dit ""Le moulin neuf""",52.6,83,recoupement_confirme,recoupement_uniquement
63b49a6d-39aa-47da-aa3e-14617e033388,IA00061195,BNO6101351,,"lieu dit ""Udon""",18.4,29,recoupement_confirme,recoupement_uniquement
12c40cb4-b71f-4ab4-9f79-cc149606da29,IA00060927,BNO6101352,MOULIN DE ROCHEFORT,"lieu dit ""Les Landes""",1.6,71,recoupement_confirme,recoupement_uniquement
40859c52-dbd7-4213-b193-8b5622fc3975,IA00060926,BNO6101353,USINE DE FERBLANTERIE / USINE DE SERRURERIE,11 rue ponts aux,19.5,71,recoupement_confirme,recoupement_uniquement
ea0139ec-b78b-4b97-b6d0-e1ca7dbe4cc5,IA00060930,BNO6101354,MOULI A FARINE / USINE DE QUINCAILLERIE,Sous la tour,11.1,89,recoupement_confirme,recoupement_uniquement
42ed31f5-39c0-4a3a-b3ed-02b42fe44cce,IA00060928,BNO6101355,USINE DE QUINCAILLERIE,"lieu dit ""Le moulin noir""",1.8,77,recoupement_confirme,recoupement_uniquement
9cad2cb0-44df-4940-a200-af0a221f3fbb,IA00061101,BNO6101356,HAUT FOUNEAU / MOULIN A BLE,"lieu dit ""La Fonte""",9.5,75,recoupement_confirme,recoupement_uniquement
