dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00061116,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,45fa0783-a316-47c5-9a1c-44a241b7db03,"distillerie, cidrerie",Anceins,61003,,Guitot,distillerie | cidrerie,distillation_alimentaire | production_cidre,agroalimentaire,cidrerie | distillerie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.4888018369267629,48.86026265814777,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9873f4af-3d58-43d2-9fdc-c9f6cee314f9
IA00061118,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,50a879ee-0b6e-4f71-a33f-d55be8bead71,"moulin à farine dit moulin d'Orion, actuellement minoterie Dubois Rioux",Argentan,61006,Charlotte Corday (rue) 13,,moulin à farine,mouture_cereales,agroalimentaire,moulin,,modernisation_apres_guerre,source_non_controlee,-0.02134356759580766,48.740973810318266,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/c85d0cda-0fbf-4f36-9244-abd54538de04
IA00061120,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,5c082e7f-3d68-4101-9c88-e4aeec8a3b83,filature,Athis-de-l'Orne,61007,,Planche (La),filature,filature_textile,textile_habillement_cuir,filature,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,-0.5340995335052601,48.82153351246531,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/74a59e69-e811-42ad-8e4c-9e396ccd6a7e
IA00061122,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,75857151-216e-41d2-9a2e-cb6bb0c2504f,filature,Athis-de-l'Orne,61007,,Buat (Le),filature,filature_textile,textile_habillement_cuir,filature,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,-0.5402628174310864,48.810511970612225,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/70f47dbf-54da-4754-981f-3b0e6c781ffd
IA00061123,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,ff094347-a8df-435c-9489-7394d5a2b7ac,centrale électrique,Aube,61008,,,centrale électrique,production_electricite,energie,centrale_electrique,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre | mutations_reconversions,source_non_controlee,0.5541974236572859,48.742178514555164,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/2120a034-92f2-46cb-b640-aeeb5a0e66e0
IA00061124,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,f2130409-afdc-4a84-945e-29c2c480bf90,moulin à farine,Aunou-le-Faucon,61014,,Moulin (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.04617697915116817,48.72205311968538,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/de7d210f-4c99-459a-b60a-0854fe0017e0
IA00061125,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,1aa3962f-5ea3-4b0b-84c5-20108aea6536,moulin à foulon dit Moulin à toile,L'Aigle,61214,,,moulin à foulon,foulage_textile,textile_habillement_cuir,moulin,,avant_1789 | revolution_premiere_industrialisation,source_non_controlee,0.6306459110390241,48.76765544531436,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/746e2966-9900-4d07-84b9-8f2eb6d28dae
IA00061126,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,d643dfab-9d03-471c-ad08-d8353c220984,usine de quincaillerie,Anceins,61003,,Sifflet (Le),usine de quincaillerie,fabrication_quincaillerie,metallurgie_travail_metaux,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.5068062266121127,48.869294944600384,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/6434f7ad-c920-49ae-93a1-b6894f1adaf7
IA00061128,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,3998e662-b65d-4b42-a358-2fefe882f739,usine d'appareils de levage et de manutention dite usine M.I.C.,Argentan,61006,,,usine d'appareils de levage et de manutention,construction_mecanique,mecanique_electrique,usine,,modernisation_apres_guerre,source_non_controlee,-0.01559552417918901,48.726042957791165,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/0a2906f5-3e51-4560-a7c3-1eaa67a50671
IA00061129,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,e5ebab1d-8294-433a-a817-fc3a89deab3e,"fenderie, tréfilerie",Aube,61008,,Fenderie (La),fenderie | tréfilerie,fabrication_metaux | trefilage_metaux,metallurgie_travail_metaux,usine,,industrialisation_rail_vapeur,source_non_controlee,0.527259861087714,48.738986882834574,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9bb902e6-a884-4942-af81-8beac2cfad03
