reference,title,communes,insee,dossier_url
IA00060960,"affinerie, filature",Saint-Clair-de-Halouze,61376,https://inventaire-patrimoine.normandie.fr/dossier/0306d4b3-8692-4c40-8640-de1f76f88832
IA00060961,ensemble d'industrie extractive (mine de fer) dit mine de Halouze,Saint-Clair-de-Halouze,61376,https://inventaire-patrimoine.normandie.fr/dossier/e984344e-385e-4d31-a12f-3588c6e30e59
IA00060962,affinerie de fer dite affinerie de la Sauvagère,Saint-Michel-des-Andaines,61431,https://inventaire-patrimoine.normandie.fr/dossier/c624f6f0-1bd4-4afa-8a3e-7fdea4bb56fe
IA00060963,filature,Frênes,61177,https://inventaire-patrimoine.normandie.fr/dossier/17dd6c87-db50-497e-bd9a-e8f9b7666246
IA00060964,usine de fabrication des métaux,Champsecret,61091,https://inventaire-patrimoine.normandie.fr/dossier/c95a8a17-616e-46d7-ba9d-b03b02b14bc1
IA00060965,"affinerie, moulin à blé",Champsecret,61091,https://inventaire-patrimoine.normandie.fr/dossier/22eb353c-b259-4251-945e-69fd4ae03831
IA00060966,briqueterie,Champsecret,61091,https://inventaire-patrimoine.normandie.fr/dossier/0fb574a5-ab82-4f92-b840-17614db01ad2
IA00060967,tissage (tissage de mèches),Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/fa88004f-3ff9-4d93-809f-00b9ffddaf48
IA00060968,"moulin à farine, minoterie",Bursard,61068,https://inventaire-patrimoine.normandie.fr/dossier/113c1b7b-9ebd-483a-9e41-5cf433fb6bb7
IA00060969,"moulin à farine dit moulin d'Ozé, puis filature d'Ozé, puis usine de matériel électroménager Moulinex",Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/9ae3477c-3f66-4615-986f-37f6b872f25f
IA00060970,fromagerie industrielle,Condé-sur-Sarthe,61117,https://inventaire-patrimoine.normandie.fr/dossier/c97d1fa8-e322-4894-97c8-3b32cf669b26
IA00060971,tannerie,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/bded1cd2-48ee-484c-8700-97e411bf750f
IA00060972,moulin à farine,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/f3939d65-589d-4789-bc19-ce6e5b677ce4
IA00060973,usine de teinturerie,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/54d78796-8468-4959-b5b4-ee3ab628d1aa
IA00060974,imprimerie,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/9c4b41ff-ee6b-45c7-ab84-14188c9443d5
IA00060975,imprimerie,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/2719459f-508c-4f76-939f-2b0b402d8bd0
IA00060976,usine de bonneterie,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/ecb27de1-d7d8-4152-89c9-666d84d34e40
